pr_gene_id,A375,A549,BT20,HCT116,HS578T,HT29,LOVO,MCF7,MDAMB231,PC3,RKO,SKBR3,SKMEL28,SW620,SW948,VCAP
5257,-0.07295,-0.7918,-0.34176785,-0.3622,0.48705,-0.4133,1.8567,-0.7069125,-1.1579001,0.3010912,-1.0698,0.103899986,1.5671,-0.20071921,0.95748955,-0.7948
22794,0.0685,-1.3749,-0.24304485,0.5948,0.431,-0.0745,-0.3841,0.30581015,0.26024997,-0.46867117,1.0751,0.27035,1.0401,0.9759066,0.23937033,0.2824
9761,0.46195,-0.0336,0.60719097,0.6529,-3.12965,-0.7697,-0.7865,0.273515,0.91255003,-0.15816501,0.6745,0.04335001,1.224,0.74991035,0.4462949,-0.6964
23326,-0.33725,-0.3838,0.8646593,-0.016200006,-0.25515002,-0.3374,-0.1483,-0.27628776,-1.19115,0.3222347,0.4255,0.5391,-0.9686,-1.9818777,0.3060171,-0.7746
10972,-1.24495,0.9319,-0.96305865,-0.79935,-1.63665,-0.6533,1.8801,0.7723006,-1.00845,0.91607827,0.248,-0.31669998,0.5552,0.35327008,0.44406578,1.1615
10523,-0.6621,-0.0153,-0.21722403,0.06735,-0.4661,-1.1875,-0.1405,-1.8038812,0.1171,-0.12875728,1.0578,0.6089,3.0546,0.3524446,1.3362633,-0.4926
79090,-0.40945,0.9018,0.13569474,0.48765,0.8833,-0.6064,0.0983,0.032000422,-0.17414999,0.61757,-2.2984,-0.34175003,1.0232,1.4350559,-0.23188646,0.4033
27032,0.41764998,0.1963,-0.26272365,0.15129998,0.90635,-0.0221,0.2043,-0.3300795,-1.17285,0.19423693,2.4574,-0.46965,0.7196,0.90935475,-0.081213295,-0.7696
9097,0.2646,0.7835,-0.22091131,1.5889,0.9798,-0.1369,0.8797,0.58694965,-1.40915,0.22982447,-0.0585,-0.36975,-0.1427,0.60392225,-0.67298555,-1.1335
10513,0.81625,-0.1895,0.3268218,0.35075,0.30195,-0.0649,0.8324,0.05217105,-0.59430003,0.37444273,-0.0432,0.47835,-0.6244,-0.28771406,-0.49781555,0.0189
1891,0.56645,-0.4775,-0.66384834,-0.13525,-0.3148,-9.7506,0.6745,-0.50895107,-0.32635,-0.8296436,0.443,0.17025,0.6649,0.013654918,-0.05212625,-0.0007
3066,-0.023450017,0.9962,-0.57920086,-0.71180004,-0.26035,0.5026,0.4339,-0.32835525,-0.74245,0.6722882,0.4846,0.05585,0.8659,0.3358383,0.878373,0.6041
9801,0.368,-0.0809,-0.30548528,0.41845,-3.44125,-0.1572,0.1425,-0.647972,-0.019149996,0.1584958,1.3819,-0.10644999,-4.5803,0.26290938,0.40301013,-0.505
1459,0.05645001,-0.4739,-0.8659642,0.5021,1.8354499,0.8172,-0.3951,0.22706856,-0.21315,-0.077800125,-0.8234,0.4564,0.5871,1.1065032,-0.9735309,-0.9527
9703,0.22665001,-0.1644,0.35123327,-0.08894999,-1.2332001,-0.261,0.3795,0.06158197,0.9557,0.03604132,1.5715,-0.100449994,2.3813,-0.2154469,1.2141885,-0.1032
10606,0.87905,0.3965,0.09277603,-0.9278,-2.4257002,-0.464,-0.8821,0.013217583,0.573,0.1903108,3.1069,-0.2581,0.3074,-1.3267161,0.21166082,0.5887
1017,0.24465,-0.5655,0.81192505,0.1333,0.8585,1.8078,0.011,-0.044525266,0.57885003,0.30152786,-0.8377,0.5082,-0.9301,0.36162,-0.19822416,-0.9107
